ModemType,HasRouter,RouterType,RouterSoftware,Subscription,Ping,TestDownload,TestUpload,ConnectionType,NetworkCard,ExternalNIC,Processor,Activities,Advice
Technicolor TC7210,Ja,Asus RT-AC88U,AsusWRT-Merlin,400 Mbit/s down - 40 Mbit/s up,11,407,40,"Wifi via 5,0 GHz frequentieband",Killer AC1535,Nee,Intel Core i7-6500u,(video)streamen,Geen verbetering
Technicolor TC7210,Ja,Linksys 07215,Unknown,400 Mbit/s down - 40 Mbit/s up,12,364.9,36.6,Netwerkkabel,Killer E2200,Ja,Intel Core i7-3770,Downloaden,Overbelasting voor het netwerk
Connectbox (Arris TG2492LG),Ja,Asus rt-ac87u,Unknown,400 Mbit/s down - 40 Mbit/s up,9,386,41,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i5-3570,(video)streamen,Geen verbetering
Cisco EPC3925,Ja,Netgear R7000,Unknown,400 Mbit/s down - 40 Mbit/s up,6,103,25,"Wifi via 2,4 GHz frequentieband",Intel l217-V,Nee,Intel Core i7-7500,(video)streamen,Veranderen van modem
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,12,201,21,Netwerkkabel,Intel 82579LM,Nee,Intel Core i5-3230m,(video)streamen,Geen verbetering
Connectbox (Arris TG2492LG),Ja,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,9,91,21,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i3,Downloaden,Overbelasting voor het netwerk
Mediabox XL (7401),Ja,sitecom,Unknown,200 Mbit/s down - 20 Mbit/s up,11,32.8,12,"Wifi via 2,4 GHz frequentieband",Realtek PCIe GBE Family Controller,Nee,AMD,(video)streamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,14,40,30,"Wifi via 2,4 GHz frequentieband",802.11n Wireless LAN Card,Nee,Intel Celeron,(video)streamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,15,41,20,"Wifi via 2,4 GHz frequentieband",Intel AC3160,Nee,Intel Celeron,Surfen (websites bezoeken),Veranderen van netwerkmedium
Technicolor TC7210,Ja,apple time capsule 2 terrabite,Unknown,400 Mbit/s down - 40 Mbit/s up,14,341,41,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i5,Surfen (websites bezoeken),Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,11,199,19,Netwerkkabel,Qualcomm Atheros AR9151,Ja,Intel Core i5-3570k,Gamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,Asus Ac-87,Unknown,200 Mbit/s down - 20 Mbit/s up,20,195,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i5,(video)streamen,Geen verbetering
Cisco EPC3928,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,12,198.2,20.3,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i5,(video)streamen,Geen verbetering
Technicolor TC7200,Ja,Draytek vigor 2925,3.8.8,400 Mbit/s down - 40 Mbit/s up,8,496.6,51.6,Netwerkkabel,Realtek 8111H,Ja,Intel Core i7-6700,(video)streamen,Veranderen van modem
Connectbox (Compal CH7465LG),Ja,ASUS RTAC87U,3.0.0.4.382_50010-gb0c6a12,400 Mbit/s down - 40 Mbit/s up,11,402,43,Netwerkkabel,Unknown,Nee,Unknown,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,TP-LINK Touch p5 (AC1900),Unknown,200 Mbit/s down - 20 Mbit/s up,14,164,21,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i5-4460,(video)streamen,Overbelasting voor het netwerk
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,13,238,38,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i7-2600k,Downloaden,Geen verbetering
Ubee EVW321B,Ja,Orbi (netgear),Unknown,250 Mbit/s down - 25 Mbit/s up,22,251.1,25.5,"Wifi via 5,0 GHz frequentieband",Qualcomm Atheros QCA9377,Nee,Intel Core i3-6100,(video)streamen,Veranderen van netwerkmedium
Cisco EPC3928,Ja,ASUS RT-AC68U,Asuswrt-Merlin,200 Mbit/s down - 20 Mbit/s up,9,144,21,"Wifi via 5,0 GHz frequentieband",Intel Wireless AC8260,Nee,Intel Core i7-6500u,Surfen (websites bezoeken),Veranderen van netwerkmedium
Technicolor TC7210,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,20,81.5,18.7,"Wifi via 2,4 GHz frequentieband",Unknown,Nee,Intel Core i7,Gamen,Veranderen van netwerkmedium
Mediabox XL (7400),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,13,90,20,"Wifi via 5,0 GHz frequentieband",Intel Wireless AC8260,Nee,Intel Core i5-6300hq,Gamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,Apple AirPort Time Capsule,7.7.9,400 Mbit/s down - 40 Mbit/s up,17,374,39,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i7,Gamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,TP link AC1750,Unknown,200 Mbit/s down - 20 Mbit/s up,12,39.4,19.6,"Wifi via 2,4 GHz frequentieband",Broadcom 802.11,Nee,Intel Core i7-5820k,Downloaden,Veranderen van netwerkmedium
Cisco EPC3925,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,14,200,20,Netwerkkabel,Apple Broadcom,Ja,Intel Core i5,Surfen (websites bezoeken),Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,15,402,40,Netwerkkabel,Intel  82579V,Nee,Intel Core i7-3770,(video)streamen,Geen verbetering
Mediabox XL (7400),Ja,Ubiquiti unifi-security-gateway-pro-4,linux,200 Mbit/s down - 20 Mbit/s up,6,92,89,Netwerkkabel,Intel  I217-V,Nee,Intel Core i5-4460,Gamen,Overbelasting voor het netwerk
Technicolor TC7210,Ja,Asus RT-AC3200 Triband,Asus firmware,400 Mbit/s down - 40 Mbit/s up,10,405.6,38,Netwerkkabel,Qualcomm Atheros AR8171,Ja,AMD A8-7600,Gamen,Geen verbetering
Cisco EPC3928AD,Ja,Sitecom WLR-5002,Unknown,200 Mbit/s down - 20 Mbit/s up,9,94,26,Netwerkkabel,Intel I218-V,Ja,Intel Core i7-5820k,(video)streamen,Overbelasting voor het netwerk
Ubee EVM3200,Ja,Netgear,Unknown,200 Mbit/s down - 20 Mbit/s up,18,248,25.7,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-2600,Gamen,Geen verbetering
Connectbox (Arris TG2492LG),Ja,Netgear R6300 WiFi Router,Unknown,400 Mbit/s down - 40 Mbit/s up,9,400,39,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-3770,(video)streamen,Geen verbetering
Connectbox (Arris TG2492LG),Ja,ASUS RT-AC87U,Unknown,200 Mbit/s down - 20 Mbit/s up,13,37,20,"Wifi via 2,4 GHz frequentieband",Qualcomm Atheros AR9002WB-1NG,Nee,Intel Core i7-2600qm,Surfen (websites bezoeken),Veranderen van netwerkmedium
Ubee EVW321B,Ja,Draytek Vigor 2120,DrayOS,200 Mbit/s down - 20 Mbit/s up,12,189,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i3-5005u,(video)streamen,Geen verbetering
Technicolor TC7210,Ja,Ubiquiti Amplifi HD,2.6.2,200 Mbit/s down - 20 Mbit/s up,11,200,19,"Wifi via 5,0 GHz frequentieband",Unknown,Nee,Unknown,Surfen (websites bezoeken),Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,8,207.1,20.6,Netwerkkabel,Inventec PCIe GBE Family Controller,Ja,Intel Core i7-2600,Gamen,Geen verbetering
Technicolor TC7210,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,8,202.5,20.7,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i5-3210m,Downloaden,Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,14,201,20,Netwerkkabel,Apple Broadcom,Nee,Intel Core i5,Downloaden,Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,16,214,20,"Wifi via 5,0 GHz frequentieband",Intel Wireless AC3165,Nee,Intel Core i3-5005u,(video)streamen,Veranderen van netwerkmedium
Technicolor TC7200,Ja,Sitecom Wi-Fi router X8 AC1750,Unknown,200 Mbit/s down - 20 Mbit/s up,30,125.5,20,Netwerkkabel,Killer E2200,Nee,Intel Core i5-4690k,Gamen,Overbelasting voor het netwerk
Connectbox (Compal CH7465LG),Ja,Asus RT-AC68U,Unknown,400 Mbit/s down - 40 Mbit/s up,12,250,40,"Wifi via 5,0 GHz frequentieband",Realtek PCIe GBE Family Controller,Nee,Intel Core i5,(video)streamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,15,168,20,"Wifi via 5,0 GHz frequentieband",802.11n Wireless LAN Card,Nee,Intel Celeron 3855u,(video)streamen,Veranderen van netwerkmedium
Cisco EPC3212,Ja,Netgear Nighthawk R 7000,Unknown,250 Mbit/s down - 25 Mbit/s up,12,240,24,"Wifi via 5,0 GHz frequentieband",TP-LINK Wireless USB Adapter,Nee,Intel Core i5-4670,(video)streamen,Geen verbetering
Technicolor TC7210,Ja,Nighthawk X6 R8000,Unknown,200 Mbit/s down - 20 Mbit/s up,12,203,19,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,AMD Ryzen 7 1700,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,Apple Airport Time Capsule,IOS,200 Mbit/s down - 20 Mbit/s up,10,66,20,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Ja,Intel Core i7,(video)streamen,Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,13,204,19.8,Netwerkkabel,Apple Broadcom,Nee,Intel Core i7,(video)streamen,Geen verbetering
Mediabox XL (7400),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,16,214.1,20.58,Netwerkkabel,Broadcom NetLink (TM) Gigabit Ethernet,Nee,Intel Core 2 Duo,Surfen (websites bezoeken),Veranderen van hardware
Connectbox (Compal CH7465LG),Ja,Netgear,Unknown,200 Mbit/s down - 20 Mbit/s up,12,84,14,"Wifi via 5,0 GHz frequentieband",Realtek PCIe GBE Family Controller,Nee,Intel Core i7-3770,Surfen (websites bezoeken),Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Ja,Asus RT-AC68U,Asuswrt-Merlin,250 Mbit/s down - 25 Mbit/s up,12,255,25,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-4700,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,CBN CH7465,Unknown,200 Mbit/s down - 20 Mbit/s up,9,203.9,20.2,Netwerkkabel,Broadcom NetLink (TM) Gigabit Ethernet,Nee,Intel Core i5-4200u,Downloaden,Overbelasting voor het netwerk
Connectbox (Compal CH7465LG),Ja,Asus RT-AC86U,Current Version : 3.0.0.4.384_20467-g40feafb,200 Mbit/s down - 20 Mbit/s up,13,195,20,"Wifi via 5,0 GHz frequentieband",Intel Centrino Advanced N-6205,Ja,Intel Core i5-2520m,(video)streamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,AMPLIFI van Ubiquiti,Unknown,200 Mbit/s down - 20 Mbit/s up,14,203,20,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Unknown,Surfen (websites bezoeken),Geen verbetering
Connectbox (Compal CH7465LG),Ja,Archer C3200,Unknown,400 Mbit/s down - 40 Mbit/s up,9,420.1,40.1,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i7-920,Gamen,Geen verbetering
Connectbox (Arris TG2492LG),Ja,Linux Debian,8,400 Mbit/s down - 40 Mbit/s up,8,405,40,Netwerkkabel,Killer E2200,Ja,Intel Core i7-4790k,Downloaden,Geen verbetering
Technicolor TC7200,Ja,Asus RT-AC68U als Accespoint,Unknown,40 Mbit/s down - 4 Mbit/s up,10,40.1,4,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i5-4460,Surfen (websites bezoeken),Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,8,200,25,Netwerkkabel,Intel l217-V,Nee,Intel Core i7-6700,Gamen,Geen verbetering
Technicolor TC7210,Ja,Asus RT-AC68U,380.65.9,400 Mbit/s down - 40 Mbit/s up,5,404,41,Netwerkkabel,Intel l217-V,Nee,Intel Core i7-7700k,Gamen,Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,3,204,21,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,AMD,Gamen,Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,15,205,20,"Wifi via 5,0 GHz frequentieband",Broadcom NetLink (TM) Gigabit Ethernet,Nee,Intel Pentium,(video)streamen,Geen verbetering
Mediabox XL (7400),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,12,206,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i3,(video)streamen,Geen verbetering
Ubee EVW321B,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,7,25.9,25.3,Netwerkkabel,Killer E2200,Nee,Intel Core i5-4460,(video)streamen,Overbelasting voor het netwerk
Connectbox (Arris TG2492LG),Ja,Draytek  Vigor 2925AC,Unknown,400 Mbit/s down - 40 Mbit/s up,11,399,40,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i5-7500,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,Asus RT-AC87U,3.0.0.4,200 Mbit/s down - 20 Mbit/s up,14,210.8,20.7,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i7,Downloaden,Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,14,145,16.8,Netwerkkabel,Intel 82579LM,Nee,Intel Core i7,(video)streamen,Overbelasting voor het netwerk
Connectbox (Arris TG2492LG),Ja,Arris TG2492LG,9.1.116BR6,250 Mbit/s down - 25 Mbit/s up,14,62,25,"Wifi via 5,0 GHz frequentieband",Broadcom 802.11,Nee,Intel Pentium,Surfen (websites bezoeken),Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,10,32.1,20.1,"Wifi via 2,4 GHz frequentieband",DW1704,Nee,Intel Core i5-7400,Surfen (websites bezoeken),Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,9,253,25.5,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i5-4460,Gamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,asus,Unknown,400 Mbit/s down - 40 Mbit/s up,7,423.4,40.9,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i5-4460,Surfen (websites bezoeken),Geen verbetering
Technicolor TC7210,Ja,EA6500 Support  Smart Wi-Fi Router AC 1750,laatste software update,200 Mbit/s down - 20 Mbit/s up,10,202.4,16.9,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i5-4460,Surfen (websites bezoeken),Geen verbetering
Technicolor TC7210,Ja,TP LINK AC1750,Unknown,200 Mbit/s down - 20 Mbit/s up,14,197.9,20.5,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-2600,Surfen (websites bezoeken),Geen verbetering
Connectbox (Arris TG2492LG),Ja,Almond 2000,Unknown,200 Mbit/s down - 20 Mbit/s up,124,199,20,"Wifi via 2,4 GHz frequentieband",Unknown,Nee,Unknown,Surfen (websites bezoeken),Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,16,114,20,"Wifi via 5,0 GHz frequentieband",Intel Wireless AC8265,Nee,Intel Core i7,Gamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,40 Mbit/s down - 4 Mbit/s up,50,3,1,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i7,Gamen,Overbelasting voor het netwerk
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,40 Mbit/s down - 4 Mbit/s up,20,20,14,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i7,Gamen,Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,40 Mbit/s down - 4 Mbit/s up,14,16.7,4.1,"Wifi via 2,4 GHz frequentieband",Unknown,Nee,Intel Pentium,(video)streamen,Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Ja,Linsys sisco,Unknown,200 Mbit/s down - 20 Mbit/s up,16,29,17,"Wifi via 2,4 GHz frequentieband",Unknown,Nee,Unknown,Gamen,Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,17,6.8,3.7,"Wifi via 2,4 GHz frequentieband",Sitecom,Nee,Intel Core i5-4460,Gamen,Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Ja,Extra wifi-punt Ziggo C7 V2 00000000,2.1.1,400 Mbit/s down - 40 Mbit/s up,9,403.7,40.3,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-2700k,(video)streamen,Geen verbetering
Cisco EPC3928,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,11,203,16,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i3,Surfen (websites bezoeken),Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,40 Mbit/s down - 4 Mbit/s up,13,51,5,"Wifi via 2,4 GHz frequentieband",Intel Centrino Advanced N-6200,Nee,Intel Core i5,Surfen (websites bezoeken),Veranderen van netwerkmedium
Mediabox XL (7400),Nee,Unknown,Unknown,40 Mbit/s down - 4 Mbit/s up,11,40.8,4.9,"Wifi via 2,4 GHz frequentieband",Intel Wireless AC7265,Nee,Intel Core i5-5200u,Surfen (websites bezoeken),Geen verbetering
Ubee EVW321B,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,10,198.5,20.2,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-4770k,Gamen,Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,11,205,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i7-4790,Surfen (websites bezoeken),Geen verbetering
Cisco EPC3928,Ja,asus,Unknown,200 Mbit/s down - 20 Mbit/s up,49,204.6,19.4,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,AMD Athlon X4 860K,Surfen (websites bezoeken),Veranderen van hardware
Ubee EVW3226,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,9,82,14.6,Netwerkkabel,Intel Pro 1000,Nee,Intel Xeon E3-1220,Gamen,Veranderen van hardware
Connectbox (Compal CH7465LG),Ja,RT-AC66U,Asus-Merlin RT-AC66U_380.70_0,250 Mbit/s down - 25 Mbit/s up,9,261,27,Netwerkkabel,Intel I211,Nee,AMD FX8350,Gamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,Synology RT2600AC,SRM 1.1.6-6931 Update 3,400 Mbit/s down - 40 Mbit/s up,5,265,35,Netwerkkabel,Intel 82579LM,Nee,Intel Core i5-2400s,(video)streamen,Overbelasting voor het netwerk
Cisco EPC3928,Nee,Unknown,Unknown,40 Mbit/s down - 4 Mbit/s up,8,40,4,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,AMD Ryzen 5 1600,Gamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,sitecom wlr 8100,Unknown,400 Mbit/s down - 40 Mbit/s up,12,405,40.2,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-3770,Downloaden,Geen verbetering
Ubee EVM3200,Ja,D-Link DIR-850L,Unknown,40 Mbit/s down - 4 Mbit/s up,6,36.1,4.1,"Wifi via 2,4 GHz frequentieband",Realtek 8188EE,Nee,Intel Core i3-5005u,Downloaden,Geen verbetering
Technicolor TC7200,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,11,35,19,"Wifi via 2,4 GHz frequentieband",Realtek 8723BE,Nee,Intel Core i3,Gamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,13,213.8,20.7,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,AMD Phenom II X4 965,Downloaden,Geen verbetering
Connectbox (Compal CH7465LG),Ja,Linksys01388,Unknown,200 Mbit/s down - 20 Mbit/s up,8,125,20,"Wifi via 2,4 GHz frequentieband",Intel Centrino Advanced N-2230,Nee,Intel Core i7-2640m,Surfen (websites bezoeken),Veranderen van netwerkmedium
Cisco EPC3925,Nee,Unknown,Unknown,40 Mbit/s down - 4 Mbit/s up,12,110,18,"Wifi via 2,4 GHz frequentieband",Qualcomm Atheros AR5BWB222,Nee,Intel Core i3,Downloaden,Veranderen van netwerkmedium
Mediabox XL (7401),Ja,CH7465LG-ZG,Unknown,200 Mbit/s down - 20 Mbit/s up,18,59.9,20.6,"Wifi via 2,4 GHz frequentieband",Unknown,Nee,Intel Celeron 3855u,Downloaden,Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,13,202.2,20.6,Netwerkkabel,Intel Gigabit,Nee,Intel Core i5-4670,(video)streamen,Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,40 Mbit/s down - 4 Mbit/s up,16,37.8,3.9,"Wifi via 2,4 GHz frequentieband",Realtek 8723BE,Nee,Intel Celeron N3050,Downloaden,Veranderen van netwerkmedium
Technicolor TC7210,Ja,Apple AirPort,IOS,200 Mbit/s down - 20 Mbit/s up,11,212.9,42.6,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i5,Surfen (websites bezoeken),Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,14,203,20,"Wifi via 5,0 GHz frequentieband",Unknown,Nee,Unknown,(video)streamen,Geen verbetering
Technicolor TC7200,Ja,Asus RT-AC66U,Asus 3.0.0.4.380_8228,200 Mbit/s down - 20 Mbit/s up,14,203,21,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i7-4790,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,d-link dir655,linux,200 Mbit/s down - 20 Mbit/s up,11,200.4,20.6,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,AMD FX8320,Gamen,Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,40 Mbit/s down - 4 Mbit/s up,30,30,4,"Wifi via 2,4 GHz frequentieband",Unknown,Nee,Intel Core i5-6300u,Surfen (websites bezoeken),Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,AMPLIFI van Ubiquiti,Unknown,200 Mbit/s down - 20 Mbit/s up,14,203,20,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Unknown,Surfen (websites bezoeken),Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,14,47,29,"Wifi via 2,4 GHz frequentieband",Qualcomm Atheros AR9485,Nee,Intel Core i5-3210m,Surfen (websites bezoeken),Veranderen van netwerkmedium
Mediabox XL (7400),Nee,Unknown,Unknown,250 Mbit/s down - 25 Mbit/s up,98,253,25,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i5-4460,Gamen,Overbelasting voor het netwerk
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,13,173,44,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i5,Gamen,Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Ja,Apple Timecapsule,Mac OS 10.13,400 Mbit/s down - 40 Mbit/s up,15,401,35,Netwerkkabel,Unknown,Nee,Intel Core i5,Surfen (websites bezoeken),Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,40 Mbit/s down - 4 Mbit/s up,12,39,4,"Wifi via 2,4 GHz frequentieband",Unknown,Nee,Unknown,Surfen (websites bezoeken),Geen verbetering
Technicolor TC7210,Ja,Asus RT-AC68U en RT-N66U,3.0.0.4.384_20648,400 Mbit/s down - 40 Mbit/s up,9,411,41,Netwerkkabel,Intel Gigabit,Ja,Intel Core i7-2600,Downloaden,Geen verbetering
Connectbox (Compal CH7465LG),Ja,TP-link c7,2.1.1,400 Mbit/s down - 40 Mbit/s up,8,409,39.3,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-4790k,(video)streamen,Geen verbetering
Technicolor TC7210,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,11,202,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i5-2430m,Surfen (websites bezoeken),Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,16,430,41,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i7,Gamen,Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,9,92.8,20.9,Netwerkkabel,Broadcom 4313GN,Nee,Intel Core 2 Duo,Downloaden,Veranderen van hardware
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,14,205,20.6,"Wifi via 5,0 GHz frequentieband",Intel Wireless AC7260,Nee,Intel Core i7-4700,(video)streamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,12,85.9,20.1,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i7,(video)streamen,Veranderen van netwerkmedium
Mediabox XL (7401),Ja,Ziggo CH7465LG-ZG,Unknown,200 Mbit/s down - 20 Mbit/s up,12,190.3,20.4,Netwerkkabel,Inventec PCIe GBE Family Controller,Ja,Intel Core i3-3220,Downloaden,Overbelasting voor het netwerk
Mediabox XL (7401),Ja,Netgear R7000,V1.0.9.26,400 Mbit/s down - 40 Mbit/s up,15,337,40,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i5,(video)streamen,Overbelasting voor het netwerk
Mediabox XL (7401),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,14,39.6,18.6,Netwerkkabel,Broadcom NetLink (TM) Gigabit Ethernet,Nee,AMD A8-7410,Gamen,Overbelasting voor het netwerk
