ModemType,HasRouter,RouterType,RouterSoftware,Subscription,Ping,TestDownload,TestUpload,ConnectionType,NetworkCard,ExternalNIC,Processor,Activities,Advice
Connectbox (Arris TG2492LG),Ja,Asus RT AC66U,Nieuwste Merlin firmware,200 Mbit/s down - 20 Mbit/s up,13,205,20,Netwerkkabel,Intel I1217-V,Nee,Intel Core i5-6600k,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,11,434,41,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i5,Surfen (websites bezoeken),Geen verbetering
Connectbox (Arris TG2492LG),Ja,DIR-826L,Mac iOS,200 Mbit/s down - 20 Mbit/s up,13,238,23,Netwerkkabel,Unknown,Nee,Intel Core i5,Downloaden,Geen verbetering
Connectbox (Arris TG2492LG),Ja,Ubiquiti Unifi Security Gateway,4.4.18.5052172,400 Mbit/s down - 40 Mbit/s up,10,400,39,Netwerkkabel,Apple BCM5701,Nee,Intel Core i7,(video)streamen,Geen verbetering
Technicolor TC7210,Ja,D-link Deco M5 (3 stuks Mesh-router),Firm 1.1.6 Build 20171103 Rel 47257,200 Mbit/s down - 20 Mbit/s up,11,205.6,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i5-7400,Surfen (websites bezoeken),Geen verbetering
Connectbox (Compal CH7465LG),Ja,Unifi,Unknown,400 Mbit/s down - 40 Mbit/s up,55,19.3,29.2,"Wifi via 2,4 GHz frequentieband",Unknown,Nee,Unknown,Surfen (websites bezoeken),Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,Ubiquiti EdgeRouter 5 PoE,EdgeOS 1.10,200 Mbit/s down - 20 Mbit/s up,13,200,21,Netwerkkabel,Intel Gigabit,Nee,Intel Core i7-4790k,(video)streamen,Geen verbetering
Ubee EVW321B,Ja,TP-Link TL-WR1043ND,Open WRT,200 Mbit/s down - 20 Mbit/s up,11,200,20,Netwerkkabel,Realtek 8111C,Nee,Intel Core i7,Gamen,Geen verbetering
Connectbox (Arris TG2492LG),Ja,TP Link WR 1043,Gargoyle 1.10.0,200 Mbit/s down - 20 Mbit/s up,11,180,19,Netwerkkabel,Intel Centrino Advanced N-2230,Nee,AMD A10-8700B,(video)streamen,Overbelasting voor het netwerk
Connectbox (Compal CH7465LG),Ja,Apple AirPort,versie 7.69 ios,250 Mbit/s down - 25 Mbit/s up,14,248.5,19.4,Netwerkkabel,Apple BCM5701,Nee,Intel Core i5,Surfen (websites bezoeken),Overbelasting voor het netwerk
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,8,200,20,"Wifi via 2,4 GHz frequentieband",Intel Wireless AC7265,Nee,Intel Core i7-5600u,Surfen (websites bezoeken),Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,15,10.8,10.7,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core 2 Duo,(video)streamen,Veranderen van hardware
Connectbox (Arris TG2492LG),Ja,TP Link TL-SF1005D,Unknown,250 Mbit/s down - 25 Mbit/s up,12,67,26,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i3,(video)streamen,Veranderen van hardware
Technicolor TC7210,Ja,Tp link archer c3150,Unknown,400 Mbit/s down - 40 Mbit/s up,19,302,37,"Wifi via 5,0 GHz frequentieband",Unknown,Nee,Unknown,Downloaden,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,sitecom,Unknown,200 Mbit/s down - 20 Mbit/s up,10,201.8,20.1,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-4770,Downloaden,Geen verbetering
Connectbox (Compal CH7465LG),Ja,Netgear R7000,Unknown,200 Mbit/s down - 20 Mbit/s up,13,202,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,AMD A6-9200,Gamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,TP-Link Archer C5400,Archer C5400(EU)_V2_170912,200 Mbit/s down - 20 Mbit/s up,12,201.8,20.6,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,AMD Ryzen 5 1600X,Gamen,Geen verbetering
Cisco EPC3928,Ja,Asus RT-AC66U,Unknown,200 Mbit/s down - 20 Mbit/s up,8,150,20,Netwerkkabel,ASIX AX88179,Nee,Intel Core i7-4500u,Surfen (websites bezoeken),Overbelasting voor het netwerk
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,8,206,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i3,Gamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,Sitecom X6 N900,Unknown,200 Mbit/s down - 20 Mbit/s up,11,190,20,Netwerkkabel,Intel I1217-V,Nee,Intel Core i7-4770k,Gamen,Geen verbetering
Technicolor TC7210,Ja,fritzbox 7490,06.98,200 Mbit/s down - 20 Mbit/s up,16,36,14,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,AMD E-350,Downloaden,Veranderen van hardware
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,10,199.4,20.5,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i5-4570,(video)streamen,Geen verbetering
Ubee EVM3200,Nee,Unknown,Unknown,250 Mbit/s down - 25 Mbit/s up,8,232,25,Netwerkkabel,Broadcom NetXtreme Gigabit Ethernet,Ja,Intel Xeon E3-5530,Downloaden,Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,9,342.4,40.7,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i5-4460,Downloaden,Overbelasting voor het netwerk
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,9,195,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-4770,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,Connectbox,Unknown,200 Mbit/s down - 20 Mbit/s up,13,142,20,"Wifi via 5,0 GHz frequentieband",Ralink RT3290,Nee,Intel Core i5,Downloaden,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,TP-Link Archer C2 v1 00000002,0.9.1 4.1 v0032.0 Build 160512 Rel.40318n,400 Mbit/s down - 40 Mbit/s up,18,90.9,36.6,Netwerkkabel,Broadcom 802.11,Nee,Intel Celeron 2955u,Gamen,Veranderen van hardware
Technicolor TC7200,Ja,"Diverse routers en accesspoints. O.a. Ubiquiti UAP-AC-LR, Netgear en TP-Link",Linux / Proprietry OS,400 Mbit/s down - 40 Mbit/s up,13,48,41,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i7,(video)streamen,Veranderen van netwerkmedium
Cisco EPC3212,Ja,Sitecom AC1900,Unknown,200 Mbit/s down - 20 Mbit/s up,11,163,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,AMD A6-6310,Gamen,Veranderen van hardware
Connectbox (Compal CH7465LG),Ja,Netgear,Netgear Genie,400 Mbit/s down - 40 Mbit/s up,14,189,40,"Wifi via 5,0 GHz frequentieband",Intel Wireless AC3160,Nee,Intel Core i5-4200u,Gamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,15,35,20,"Wifi via 2,4 GHz frequentieband",Qualcomm Atheros AR9285,Nee,Intel Core i3,Surfen (websites bezoeken),Veranderen van netwerkmedium
Cisco EPC3925,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,8,191.4,20.8,Netwerkkabel,Unknown,Ja,Intel Core i5,Downloaden,Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,8,201.3,20.5,Netwerkkabel,Qualcomm Atheros AR816,Nee,Intel Core i7-3770k,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,14,199,20,"Wifi via 5,0 GHz frequentieband",Intel 1000BGN,Nee,Intel Core i3,Surfen (websites bezoeken),Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,pfSense,2.3.4-RELEASE-p1,200 Mbit/s down - 20 Mbit/s up,13,195.4,17.6,Netwerkkabel,Intel I211,Nee,AMD Ryzen 5 1600X,Gamen,Overbelasting voor het netwerk
Mediabox XL (7401),Nee,Unknown,Unknown,40 Mbit/s down - 4 Mbit/s up,15,34,3,"Wifi via 2,4 GHz frequentieband",Realtek PCIe GBE Family Controller,Ja,Intel Celeron J3355,(video)streamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,13,81,20,Netwerkkabel,Qualcomm Atheros AR8121/AR8113/AR8114,Nee,Intel Pentium,Downloaden,Veranderen van hardware
Mediabox XL (7400),Ja,CBN CH7465CE,Unknown,200 Mbit/s down - 20 Mbit/s up,14,61,19,Netwerkkabel,Intel Centrino Advanced N-2230,Nee,Intel Core i5,Surfen (websites bezoeken),Veranderen van hardware
Connectbox (Compal CH7465LG),Ja,Tp link,Geen idee,200 Mbit/s down - 20 Mbit/s up,70,26,15,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i5,(video)streamen,Veranderen van netwerkmedium
Ubee EVM3200,Ja,Belkin n759db,Unknown,200 Mbit/s down - 20 Mbit/s up,14,14.7,2.4,"Wifi via 2,4 GHz frequentieband",Realtek 8188CE,Nee,Intel Celeron,Downloaden,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,tplink,Unknown,200 Mbit/s down - 20 Mbit/s up,11,203.3,19.5,"Wifi via 2,4 GHz frequentieband",Intel Wireless AC3168,Nee,Intel Core i5-7400,Gamen,Veranderen van netwerkmedium
Mediabox XL (7401),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,10,205.2,20,Netwerkkabel,Intel I1217-LM,Nee,Intel Core i5,Surfen (websites bezoeken),Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,40 Mbit/s down - 4 Mbit/s up,10,40.9,4,"Wifi via 2,4 GHz frequentieband",Qualcomm Atheros AR9151,Ja,Intel Core i3-2350m,(video)streamen,Geen verbetering
Mediabox XL (7400),Ja,Lynksys,Unknown,200 Mbit/s down - 20 Mbit/s up,12,207,20,"Wifi via 5,0 GHz frequentieband",Intel I219-V,Nee,Intel Core i5,(video)streamen,Veranderen van netwerkmedium
Technicolor TC7210,Ja,extra wifi-punt C7,2.0,300 Mbit/s down - 30 Mbit/s up,8,254.2,25.9,Netwerkkabel,Killer E2200,Nee,Intel Core i7-4790k,(video)streamen,Overbelasting voor het netwerk
Ubee EVW321B,Ja,TP-Link AC1750,Unknown,200 Mbit/s down - 20 Mbit/s up,12,37.8,20.7,"Wifi via 2,4 GHz frequentieband",Intel Centrino Advanced N-2230,Nee,Intel Core i3,(video)streamen,Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,40,199,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i3-6100,Downloaden,Overbelasting voor het netwerk
